Date,kW
7/1/16 0:00,208
7/1/16 1:00,198
7/1/16 2:00,196
7/1/16 3:00,196
7/1/16 4:00,196
7/1/16 5:00,195
7/1/16 6:00,235
7/1/16 7:00,263
7/1/16 8:00,261
7/1/16 9:00,271
7/1/16 10:00,276
7/1/16 11:00,282
7/1/16 12:00,280
7/1/16 13:00,284
7/1/16 14:00,279
7/1/16 15:00,278
7/1/16 16:00,277
7/1/16 17:00,272
7/1/16 18:00,260
7/1/16 19:00,264
7/1/16 20:00,267
7/1/16 21:00,212
7/1/16 22:00,211
7/1/16 23:00,205
7/2/16 0:00,202
7/2/16 1:00,193
7/2/16 2:00,192
7/2/16 3:00,193
7/2/16 4:00,192
7/2/16 5:00,192
7/2/16 6:00,207
7/2/16 7:00,229
7/2/16 8:00,254
7/2/16 9:00,254
7/2/16 10:00,257
7/2/16 11:00,258
7/2/16 12:00,260
7/2/16 13:00,260
7/2/16 14:00,265
7/2/16 15:00,267
7/2/16 16:00,266
7/2/16 17:00,267
7/2/16 18:00,266
7/2/16 19:00,214
7/2/16 20:00,205
7/2/16 21:00,204
7/2/16 22:00,203
7/2/16 23:00,205
7/3/16 0:00,202
7/3/16 1:00,192
7/3/16 2:00,191
7/3/16 3:00,191
7/3/16 4:00,191
7/3/16 5:00,191
7/3/16 6:00,205
7/3/16 7:00,225
7/3/16 8:00,251
7/3/16 9:00,254
7/3/16 10:00,255
7/3/16 11:00,256
7/3/16 12:00,259
7/3/16 13:00,266
7/3/16 14:00,266
7/3/16 15:00,260
7/3/16 16:00,263
7/3/16 17:00,263
7/3/16 18:00,262
7/3/16 19:00,210
7/3/16 20:00,208
7/3/16 21:00,205
7/3/16 22:00,203
7/3/16 23:00,204
7/4/16 0:00,202
7/4/16 1:00,194
7/4/16 2:00,191
7/4/16 3:00,191
7/4/16 4:00,190
7/4/16 5:00,191
7/4/16 6:00,231
7/4/16 7:00,250
7/4/16 8:00,253
7/4/16 9:00,254
7/4/16 10:00,257
7/4/16 11:00,266
7/4/16 12:00,266
7/4/16 13:00,267
7/4/16 14:00,266
7/4/16 15:00,268
7/4/16 16:00,259
7/4/16 17:00,264
7/4/16 18:00,257
7/4/16 19:00,262
7/4/16 20:00,258
7/4/16 21:00,203
7/4/16 22:00,201
7/4/16 23:00,200
7/5/16 0:00,197
7/5/16 1:00,190
7/5/16 2:00,191
7/5/16 3:00,202
7/5/16 4:00,202
7/5/16 5:00,203
7/5/16 6:00,244
7/5/16 7:00,265
7/5/16 8:00,278
7/5/16 9:00,283
7/5/16 10:00,288
7/5/16 11:00,298
7/5/16 12:00,289
7/5/16 13:00,292
7/5/16 14:00,294
7/5/16 15:00,294
7/5/16 16:00,294
7/5/16 17:00,293
7/5/16 18:00,290
7/5/16 19:00,289
7/5/16 20:00,286
7/5/16 21:00,231
7/5/16 22:00,227
7/5/16 23:00,226
7/6/16 0:00,218
7/6/16 1:00,215
7/6/16 2:00,211
7/6/16 3:00,209
7/6/16 4:00,210
7/6/16 5:00,208
7/6/16 6:00,249
7/6/16 7:00,277
7/6/16 8:00,270
7/6/16 9:00,281
7/6/16 10:00,287
7/6/16 11:00,303
7/6/16 12:00,299
7/6/16 13:00,293
7/6/16 14:00,297
7/6/16 15:00,297
7/6/16 16:00,294
7/6/16 17:00,291
7/6/16 18:00,290
7/6/16 19:00,293
7/6/16 20:00,294
7/6/16 21:00,227
7/6/16 22:00,231
7/6/16 23:00,234
7/7/16 0:00,230
7/7/16 1:00,218
7/7/16 2:00,222
7/7/16 3:00,218
7/7/16 4:00,215
7/7/16 5:00,219
7/7/16 6:00,258
7/7/16 7:00,281
7/7/16 8:00,307
7/7/16 9:00,312
7/7/16 10:00,318
7/7/16 11:00,322
7/7/16 12:00,341
7/7/16 13:00,339
7/7/16 14:00,342
7/7/16 15:00,325
7/7/16 16:00,316
7/7/16 17:00,309
7/7/16 18:00,290
7/7/16 19:00,294
7/7/16 20:00,295
7/7/16 21:00,238
7/7/16 22:00,247
7/7/16 23:00,247
7/8/16 0:00,235
7/8/16 1:00,227
7/8/16 2:00,229
7/8/16 3:00,221
7/8/16 4:00,228
7/8/16 5:00,224
7/8/16 6:00,257
7/8/16 7:00,283
7/8/16 8:00,285
7/8/16 9:00,302
7/8/16 10:00,306
7/8/16 11:00,316
7/8/16 12:00,315
7/8/16 13:00,314
7/8/16 14:00,315
7/8/16 15:00,308
7/8/16 16:00,301
7/8/16 17:00,289
7/8/16 18:00,290
7/8/16 19:00,276
7/8/16 20:00,273
7/8/16 21:00,219
7/8/16 22:00,217
7/8/16 23:00,205
7/9/16 0:00,206
7/9/16 1:00,193
7/9/16 2:00,192
7/9/16 3:00,192
7/9/16 4:00,192
7/9/16 5:00,192
7/9/16 6:00,207
7/9/16 7:00,236
7/9/16 8:00,254
7/9/16 9:00,254
7/9/16 10:00,254
7/9/16 11:00,254
7/9/16 12:00,256
7/9/16 13:00,255
7/9/16 14:00,255
7/9/16 15:00,255
7/9/16 16:00,255
7/9/16 17:00,255
7/9/16 18:00,256
7/9/16 19:00,204
7/9/16 20:00,202
7/9/16 21:00,203
7/9/16 22:00,205
7/9/16 23:00,187
7/10/16 0:00,150
7/10/16 1:00,141
7/10/16 2:00,141
7/10/16 3:00,141
7/10/16 4:00,175
7/10/16 5:00,226
7/10/16 6:00,242
7/10/16 7:00,270
7/10/16 8:00,288
7/10/16 9:00,290
7/10/16 10:00,291
7/10/16 11:00,292
7/10/16 12:00,294
7/10/16 13:00,294
7/10/16 14:00,294
7/10/16 15:00,295
7/10/16 16:00,294
7/10/16 17:00,296
7/10/16 18:00,295
7/10/16 19:00,240
7/10/16 20:00,240
7/10/16 21:00,238
7/10/16 22:00,237
7/10/16 23:00,237
7/11/16 0:00,235
7/11/16 1:00,226
7/11/16 2:00,226
7/11/16 3:00,224
7/11/16 4:00,225
7/11/16 5:00,225
7/11/16 6:00,267
7/11/16 7:00,293
7/11/16 8:00,305
7/11/16 9:00,308
7/11/16 10:00,311
7/11/16 11:00,311
7/11/16 12:00,315
7/11/16 13:00,314
7/11/16 14:00,306
7/11/16 15:00,305
7/11/16 16:00,305
7/11/16 17:00,300
7/11/16 18:00,298
7/11/16 19:00,294
7/11/16 20:00,293
7/11/16 21:00,239
7/11/16 22:00,239
7/11/16 23:00,238
7/12/16 0:00,237
7/12/16 1:00,225
7/12/16 2:00,226
7/12/16 3:00,225
7/12/16 4:00,225
7/12/16 5:00,225
7/12/16 6:00,268
7/12/16 7:00,291
7/12/16 8:00,294
7/12/16 9:00,304
7/12/16 10:00,314
7/12/16 11:00,317
7/12/16 12:00,319
7/12/16 13:00,311
7/12/16 14:00,309
