offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Courthouse y
1,-0.868842187,0,1,0.21669453600000002,0,0,0,1,1,0,0,0,0,-0.737167155,-0.9186230470000001,-0.013972618999999999,-0.163486338,-0.087401025,218.0
1,-0.862693967,0,1,-0.650083607,0,0,0,1,0,1,0,0,0,-0.790215132,-0.9760806809999999,0.037217227,-0.163486338,-1.452963667,235.0
1,-0.761248338,0,1,-1.661324773,0,1,0,0,0,0,0,0,1,0.111600473,-0.51641961,1.368153207,-0.163486338,-0.087401025,244.0
1,-0.844249307,0,1,-1.516861749,0,1,0,0,0,0,0,0,1,0.058552495999999996,0.517817799,-0.88419999,-0.163486338,0.18571150399999997,224.0
1,-0.579875849,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-1.320694899,-1.435741752,-0.32111169100000003,-0.163486338,0.73193656,309.0
1,-0.355465821,1,0,1.372398725,0,0,1,0,0,0,0,0,1,1.27865596,1.149851771,0.44673599,-0.163486338,-1.452963667,380.0
1,1.369109872,1,0,-0.505620583,0,0,1,0,0,0,0,1,0,0.907320123,1.149851771,-0.32111169100000003,-0.163486338,0.18571150399999997,971.0
1,1.59044579,0,1,-0.36115755899999996,0,0,1,0,0,0,0,1,0,0.32379237899999996,0.920021236,-0.9865796809999999,-0.163486338,-0.633626082,1084.0
1,-0.822730537,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-0.578023225,-0.05675854,-1.140149217,-0.163486338,-0.633626082,227.0
1,0.363875912,1,0,-0.36115755899999996,0,1,0,0,0,0,0,1,0,-0.896311085,-0.458961977,-1.088959372,-0.163486338,-0.087401025,647.0
1,0.883400497,1,0,0.79454663,0,0,0,1,0,0,1,0,0,-0.25973536399999997,0.173071996,-0.9353898359999999,-0.163486338,0.18571150399999997,780.0
1,2.146859695,1,0,0.505620583,0,0,1,0,1,0,0,0,0,0.48293631,1.4371399409999999,-1.3960984440000002,-0.163486338,0.18571150399999997,1186.0
1,-0.014239615,1,0,1.372398725,0,0,0,1,0,0,0,0,1,-0.418879295,-0.9186230470000001,0.856254753,0.842725583,0.73193656,272.0
1,-0.7643224479999999,0,1,1.227935701,0,0,1,0,0,0,0,0,1,0.270744403,0.920021236,-1.088959372,-0.163486338,0.45882403200000005,244.0
1,1.747225399,1,0,-1.227935701,0,0,1,0,0,0,0,0,1,1.4908478669999998,1.207309405,0.856254753,-0.163486338,-1.452963667,1082.0
1,-0.868842187,0,1,0.21669453600000002,1,0,0,0,1,0,0,0,0,0.270744403,-0.17167380699999998,0.9074445990000001,-0.163486338,0.73193656,215.0
1,0.5145073,1,0,-0.21669453600000002,0,1,0,0,0,0,0,1,0,-0.25973536399999997,-1.033538315,1.726482125,0.339619623,0.45882403200000005,744.0
1,-0.55528297,1,0,-1.661324773,0,0,0,1,0,0,0,0,1,0.48293631,0.402902531,0.13959691800000001,-0.163486338,-0.087401025,236.0
1,-0.8012117670000001,1,0,-1.372398725,0,0,0,1,0,0,0,0,1,-1.4267908519999999,-1.608114654,-0.218732,-0.163486338,0.45882403200000005,231.0
1,-0.828878757,1,0,-0.072231512,0,1,0,0,0,0,0,1,0,-1.108502992,-0.861165414,-0.88419999,-0.163486338,1.0050490890000001,217.0
1,-0.696692028,1,0,-0.650083607,0,0,1,0,0,1,0,0,0,1.43779989,1.322224673,0.44673599,-0.163486338,-1.452963667,780.0
1,0.8588076170000001,1,0,0.505620583,0,0,0,1,1,0,0,0,0,-1.5859347819999998,-1.320826485,-1.037769527,-0.163486338,2.64372426,773.0
1,-0.788915327,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-1.108502992,-1.205911217,-0.269921846,-0.163486338,-1.452963667,241.0
