offset,PDemand Feature,Day1,Day2,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School1 y
1,0.28238816699999997,0,1,0,1,0,0,1,0,0,0,0,-0.418879295,0.23052963,-1.242528908,-0.163486338,0.18571150399999997,0.44798888200000003
1,-0.72219043,0,0,0,0,0,1,0,0,0,1,0,-0.949359062,-0.861165414,-0.5770609179999999,-0.163486338,-0.087401025,-0.402898616
1,0.483303886,1,0,1,0,0,0,0,0,0,1,0,0.164648449,-0.17167380699999998,0.6514953720000001,-0.163486338,-1.1798511390000002,1.3697836719999998
1,0.223295308,1,0,1,0,0,0,0,0,0,0,1,1.27865596,0.805105968,1.265773517,-0.163486338,-1.452963667,0.211631244
1,-0.580367569,1,0,1,0,0,0,0,0,0,0,1,0.695128216,0.34544489700000003,0.805064908,-0.163486338,-0.633626082,-0.686527782
1,1.050595329,0,0,0,0,1,0,0,0,0,1,0,0.535984286,-0.114216173,1.572912589,-0.163486338,0.18571150399999997,1.038882978
1,-1.13584044,0,1,0,1,0,0,1,0,0,0,0,-1.0024070379999999,0.23052963,-1.9591867440000001,-0.163486338,1.0050490890000001,-1.2656039959999998
1,-1.017654723,0,0,0,0,0,1,0,0,0,0,1,-0.524975248,-0.80370778,0.29316645399999997,-0.163486338,-0.633626082,-1.029246358
1,0.932409612,0,1,0,1,0,0,0,0,1,0,0,-1.745078712,-1.033538315,-1.652047671,-0.163486338,1.278161617,0.672528638
1,-0.9467432929999999,0,1,0,1,0,0,0,1,0,0,0,-1.479838829,-1.493199386,-0.525871073,-0.163486338,1.0050490890000001,-0.402898616
1,-0.99401758,0,0,0,0,0,1,0,0,0,1,0,-0.206687388,-1.033538315,1.931241507,-0.163486338,1.551274146,-0.591984727
1,1.795165348,1,0,1,0,0,0,1,0,0,0,0,0.270744403,1.552055208,-1.7032375169999998,-0.163486338,-0.087401025,1.7952274209999999
1,0.471485314,0,0,0,0,1,0,0,0,0,0,1,0.695128216,0.0006990939999999999,1.726482125,1.094278563,1.551274146,0.459806764
1,-0.592186141,0,1,0,1,0,0,0,0,0,0,1,-0.312783341,-0.22913144100000002,-0.372301536,-0.163486338,1.278161617,-0.556531081
