DATE,TIME,AM/PM,HOURLYDRYBULBTEMPF,HOURLYWETBULBTEMPF,HOURLYDewPointTempF,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYPrecip
7/1/16,12:51:00,AM,74,65,60,62,3,0
7/1/16,1:51:00,AM,73,63,56,55,0,0
7/1/16,2:51:00,AM,72,63,56,57,5,0
7/1/16,3:51:00,AM,71,63,57,61,3,0
7/1/16,4:51:00,AM,71,64,60,68,0,0
7/1/16,5:51:00,AM,73,67,63,71,0,0
7/1/16,5:51:00,AM,73,67,63,71,0,0
7/1/16,6:51:00,AM,73,68,65,76,0,0
7/1/16,7:51:00,AM,75,69,66,74,6,0
7/1/16,8:51:00,AM,77,70,67,71,5,0
7/1/16,9:51:00,AM,77,70,67,71,7,0
7/1/16,10:51:00,AM,77,71,68,74,7,0
7/1/16,11:51:00,AM,78,71,68,71,7,0
7/1/16,12:51:00,PM,77,72,69,77,7,0
7/1/16,1:51:00,PM,78,73,70,76,7,0
7/1/16,2:51:00,PM,75,72,70,84,7,0
7/1/16,3:51:00,PM,74,71,70,88,8,0.12
7/1/16,4:51:00,PM,70,68,67,90,8,0.25
7/1/16,5:51:00,PM,72,70,69,91,0,0.14
7/1/16,6:51:00,PM,71,69,68,90,5,0
7/1/16,7:51:00,PM,70,69,68,93,0,0
7/1/16,8:51:00,PM,69,68,67,93,3,0
7/1/16,9:51:00,PM,67,66,65,93,3,0.44
7/1/16,10:51:00,PM,67,66,65,93,0,0
7/1/16,11:51:00,PM,69,68,67,93,0,0
7/2/16,12:51:00,AM,69,68,67,93,3,0
7/2/16,1:51:00,AM,69,67,66,90,5,0
7/2/16,2:51:00,AM,68,66,65,90,0,0
7/2/16,3:51:00,AM,65,61,59,81,6,0
7/2/16,4:51:00,AM,64,60,58,81,3,0
7/2/16,5:51:00,AM,65,60,56,73,7,0
7/2/16,6:51:00,AM,66,61,57,73,8,0
7/2/16,7:51:00,AM,68,60,54,61,8,0
7/2/16,8:51:00,AM,69,59,52,55,9,0
7/2/16,9:51:00,AM,71,60,51,49,8,0
7/2/16,10:51:00,AM,73,60,50,44,9,0
7/2/16,11:51:00,AM,73,59,48,41,8,0
7/2/16,12:51:00,PM,75,61,50,41,0,0
7/2/16,1:51:00,PM,75,61,50,41,0,0
7/2/16,2:51:00,PM,75,60,49,40,0,0
7/2/16,3:51:00,PM,75,60,48,39,11,0
7/2/16,4:51:00,PM,75,59,47,37,7,0
7/2/16,5:51:00,PM,75,60,49,40,9,0
7/2/16,6:51:00,PM,74,60,49,41,3,0
7/2/16,7:51:00,PM,73,59,48,41,7,0
7/2/16,8:51:00,PM,72,59,48,43,0,0
7/2/16,9:51:00,PM,71,59,50,47,3,0
7/2/16,10:51:00,PM,71,59,49,46,0,0
7/2/16,11:51:00,PM,70,59,50,49,5,0
7/3/16,12:51:00,AM,69,58,50,51,3,0
7/3/16,1:51:00,AM,68,58,50,53,3,0
7/3/16,2:51:00,AM,67,59,52,59,3,0
7/3/16,3:51:00,AM,66,58,51,59,0,0
7/3/16,4:51:00,AM,65,58,53,66,5,0
7/3/16,5:51:00,AM,67,59,53,61,3,0
7/3/16,6:51:00,AM,69,59,52,55,3,0
7/3/16,7:51:00,AM,70,60,53,55,3,0
7/3/16,8:51:00,AM,72,62,54,53,0,0
7/3/16,9:51:00,AM,75,62,53,46,0,0
7/3/16,10:51:00,AM,76,61,50,40,0,0
7/3/16,11:51:00,AM,76,62,51,42,0,0
7/3/16,12:51:00,PM,76,63,54,47,5,0
7/3/16,1:51:00,PM,77,63,54,45,2,0
7/3/16,2:51:00,PM,77,63,54,45,0,0
7/3/16,3:51:00,PM,76,64,56,50,5,0
7/3/16,4:51:00,PM,76,64,55,48,3,0
7/3/16,5:51:00,PM,76,64,56,50,5,0
7/3/16,6:51:00,PM,75,64,57,54,4,0
7/3/16,7:51:00,PM,74,63,56,54,3,0
7/3/16,8:51:00,PM,73,63,56,55,8,0
7/3/16,9:51:00,PM,73,63,56,55,5,0
7/3/16,10:51:00,PM,72,63,57,59,6,0
7/3/16,11:51:00,PM,71,63,58,63,3,0
7/4/16,12:51:00,AM,71,63,57,61,5,0
7/4/16,1:51:00,AM,69,62,57,66,5,0
7/4/16,2:51:00,AM,68,62,57,68,3,0
7/4/16,3:51:00,AM,67,62,58,73,0,0
7/4/16,4:51:00,AM,66,61,58,75,3,0
7/4/16,5:51:00,AM,68,62,58,70,0,0
7/4/16,6:51:00,AM,70,63,59,68,3,0
7/4/16,7:51:00,AM,73,64,58,59,5,0
7/4/16,8:51:00,AM,75,64,57,54,0,0
